KONPLAN SAMMENLIG;Finanskonto;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;Navn;Søgenavn;Kontotype;Global dimension 1-kode;Global dimension 2-kode;Kontokategori;Resultatopgørelse/balance;Debet/kredit;Nr. 2;Spærret;Direkte bogføring;Afstembar;Sideskift;Antal tomme linjer;Indrykning;Valutakode;Bogføring af kildevaluta;Værdiregulering af kildevaluta;Urealiseret værdiregulering;Dato/klokkeslæt for seneste ændring;Rettet den;Sammentælling;Konsol. oversættelsesmetode;Kons.debetkonto;Kons.kreditkonto;Bogføringstype;Virksomhedsbogføringsgruppe;Produktbogføringsgruppe;Billede;Automatisk udv. tekster;Skatteområdekode;Skattepligtig;Skattegruppekode;Momsvirksomhedsbogf.gruppe;Momsproduktbogf.gruppe;Valutakursregulering;IC-stand.partners finanskt.nr.;Udelad standardbeskrivelse i kladde;Løbenr. for kontounderkategori;Udeluk fra konsolidering;Omkostningstypenr.;Standardskabelonkode for periodisering;Automatisk redovisningsmall;Standardbæredygtighedskonti;API-kontotype;Gennemse politik
1433;Fakturerad projektförsäljning;FAKTURERAD PROJEKTFÖRSÄLJNING;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;5;;;false;false;2026-01-19T15:19:44.837Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;6;false;;;;;Bogføring;Ingen
1434;PIA-försäljning, totalt;PIA-FÖRSÄLJNING, TOTALT;Sluttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;4;;;false;false;2026-01-19T15:19:44.853Z;2026-01-19;1431..1434;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;6;false;;;;;Sluttotal;Ingen
1435;Produkter i arbete kostnader;PRODUKTER I ARBETE KOSTNADER;Starttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;4;;;false;false;2026-01-19T15:19:44.867Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;6;false;;;;;Starttotal;Ingen
1436;PIA-projektkostnader;PIA-PROJEKTKOSTNADER;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;5;;;false;false;2026-01-19T15:19:44.873Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;6;false;;;;;Bogføring;Ingen
1437;Upplupna projektkostnader;UPPLUPNA PROJEKTKOSTNADER;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;5;;;false;false;2026-01-19T15:19:44.883Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;6;false;;;;;Bogføring;Ingen
1438;PIA-kostnader, totalt;PIA-KOSTNADER, TOTALT;Sluttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;4;;;false;false;2026-01-19T15:19:44.893Z;2026-01-19;1435..1438;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;6;false;;;;;Sluttotal;Ingen
1440;PIA färdigvaror;PIA FÄRDIGVAROR;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;4;;;false;false;2026-01-19T15:19:44.927Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;;false;;;;;Bogføring;Ingen
1449;PIA för projekt, totalt;PIA FÖR PROJEKT, TOTALT;Sluttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;3;;;false;false;2026-01-19T15:19:44.94Z;2026-01-19;1430..1449;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;6;false;;;;;Sluttotal;Ingen
1450;Lager färdigvaror;LAGER FÄRDIGVAROR;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;3;;;false;false;2026-01-19T15:19:44.95Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;6;false;;;;;Bogføring;Ingen
1451;Lager färdigvaror (interim);LAGER FÄRDIGVAROR (INTERIM);Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;3;;;false;false;2026-01-19T15:19:44.967Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;6;false;;;;;Bogføring;Ingen
1452;Primo-lager;PRIMO-LAGER;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;3;;;false;false;2026-01-19T15:19:44.977Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;6;false;;;;;Bogføring;Ingen
1460;Lager varor;LAGER VAROR;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;3;;;false;false;2026-01-19T15:19:44.987Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;6;false;;;;;Bogføring;Ingen
1461;Lager varor (interim);LAGER VAROR (INTERIM);Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;3;;;false;false;2026-01-19T15:19:44.997Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;6;false;;;;;Bogføring;Ingen
1499;Lager totalt;LAGER TOTALT;Sluttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;2;;;false;false;2026-01-19T15:19:45.007Z;2026-01-19;1401..1499;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;6;false;;;;;Sluttotal;Ingen
1500;Kundreskontra;KUNDRESKONTRA;Starttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;2;;;false;false;2026-01-19T15:19:45.02Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;4;false;;;;;Starttotal;Ingen
1510;Kunder inrikes;KUNDER INRIKES;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;3;;;false;false;2026-01-19T15:19:45.027Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;4;false;;;;;Bogføring;Ingen
1511;Kundfordringar utländska;KUNDFORDRINGAR UTLÄNDSKA;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;3;;;false;false;2026-01-19T15:19:45.04Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;4;false;;;;;Bogføring;Ingen
1520;Upplupna inkomsträntor;UPPLUPNA INKOMSTRÄNTOR;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;3;;;false;false;2026-01-19T15:19:45.05Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;4;false;;;;;Bogføring;Ingen
1530;Övriga fordringar;ÖVRIGA FORDRINGAR;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;3;;;false;false;2026-01-19T15:19:45.063Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;4;false;;;;;Bogføring;Ingen
1599;Fordringar totalt;FORDRINGAR TOTALT;Sluttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;2;;;false;false;2026-01-19T15:19:45.073Z;2026-01-19;1500..1599;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;4;false;;;;;Sluttotal;Ingen
1793;Utlev. ej fakturerade;UTLEV. EJ FAKTURERADE;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;2;;;false;false;2026-01-19T15:19:45.087Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;2;false;;;;;Bogføring;Ingen
1900;Likvida tillgångar;LIKVIDA TILLGÅNGAR;Starttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;2;;;false;false;2026-01-19T15:19:45.097Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;3;false;;;;;Starttotal;Ingen
